Türü;Net Metrekare;Brüt Metrekare;Oda Sayısı;Binanın Yaşı;Binanın Kat Sayısı;Isıtma Tipi;Kullanım Durumu;Site İçerisinde;Banyo Sayısı;Fiyat;İl;İlçe;Mahalle
Konut;85 m²;95 m²;1+1;5-10;18;Kombi Doğalgaz;Boş;Evet;1;1.370.000;İstanbul;Beylikdüzü;Cumhuriyet Mahallesi
Konut;125 m²;135 m²;3+1;4;4;Kombi Doğalgaz;Boş;Hayır;1;2.085.000;İstanbul;Beylikdüzü;Cumhuriyet Mahallesi
Konut;100 m²;110 m²;2+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;1;2.250.000;İstanbul;Esenyurt;Selahaddin Eyyubi Mahallesi
Konut;80 m²;85 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Evet;1;3.050.000;İstanbul;Tuzla;Mescit Mahallesi
Konut;85 m²;95 m²;2+1;5-10;5;Merkezi Doğalgaz;Mülk Sahibi Oturuyor;Evet;1;3.900.000;İstanbul;Sultangazi;İsmetpaşa Mahallesi
Konut;75 m²;85 m²;2+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;1;5.975.000;İstanbul;Maltepe;İdealtepe Mahallesi
Konut;125 m²;140 m²;2+1;5-10;5;Merkezi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.650.000;İstanbul;Sultangazi;Esentepe Mahallesi
Konut;100 m²;110 m²;2+1;5-10;25;Kombi Doğalgaz;Boş;Hayır;1;2.050.000;İstanbul;Beylikdüzü;Cumhuriyet Mahallesi
Konut;67 m²;75 m²;1+1;0 (Yeni);20;Kombi Doğalgaz;Boş;Hayır;1;1.299.000;İstanbul;Beylikdüzü;Cumhuriyet Mahallesi
Konut;100 m²;110 m²;2+1;2;5;Kombi Doğalgaz;Boş;Hayır;2;979.000;İstanbul;Esenyurt;Yeşilkent Mahallesi
Konut;190 m²;215 m²;3+2;0 (Yeni);3;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;3;4.590.000;İstanbul;Arnavutköy;Nenehatun Mahallesi
Konut;100 m²;110 m²;2+1;1;5;Kombi Doğalgaz;Boş;Hayır;1;1.395.000;İstanbul;Esenyurt;Talatpaşa Mahallesi
Konut;100 m²;120 m²;2+1;5-10;5;Kombi Doğalgaz;Boş;Hayır;1;1.000.000;İstanbul;Esenyurt;Bağlarçeşme Mahallesi
Konut;70 m²;75 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Boş;Hayır;1;2.450.000;İstanbul;Sultangazi;Cebeci Mahallesi
Konut;90 m²;95 m²;2+1;21 Ve Üzeri;5;Merkezi Doğalgaz;Kiracı Oturuyor;Hayır;1;2.845.000;İstanbul;Sultangazi;İsmetpaşa Mahallesi
Konut;100 m²;110 m²;3+1;21 Ve Üzeri;7;Kombi Doğalgaz;Boş;Hayır;1;990.000;İstanbul;Küçükçekmece;Söğütlü Çeşme Mahallesi
Konut;110 m²;120 m²;3+0;21 Ve Üzeri;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;Yok;3.500.000;İstanbul;Şişli;Mecidiyeköy Mahallesi
Konut;82 m²;90 m²;2+1;11-15;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.500.000;İstanbul;Arnavutköy;Arnavutköy Merkez Mahallesi
Konut;165 m²;180 m²;4+2;1;3;Kombi Doğalgaz;Boş;Hayır;2;4.950.000;İstanbul;Arnavutköy;Taşoluk Mahallesi
Konut;135 m²;150 m²;3+1;21 Ve Üzeri;4;Kombi Doğalgaz;Boş;Hayır;1;23.000;İstanbul;Kartal;Topselvi Mahallesi
Konut;135 m²;150 m²;3+1;21 Ve Üzeri;4;Kombi Doğalgaz;Boş;Hayır;1;23.000;İstanbul;Kartal;Topselvi Mahallesi
Konut;133 m²;136 m²;3+1;21 Ve Üzeri;5;Merkezi Doğalgaz;Boş;Evet;1;12.800.000;İstanbul;Sarıyer;Zekeriyaköy Mahallesi
Konut;135 m²;150 m²;3+1;21 Ve Üzeri;4;Kombi Doğalgaz;Boş;Hayır;1;23.000;İstanbul;Kartal;Topselvi Mahallesi
Konut;100 m²;110 m²;2+1;21 Ve Üzeri;3;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.275.000;İstanbul;Bayrampaşa;Kartaltepe Mahallesi
Konut;100 m²;120 m²;2+1;3;5;Kombi Doğalgaz;Boş;Hayır;1;1.089.000;İstanbul;Esenyurt;Güzelyurt Mahallesi
Konut;95 m²;145 m²;2+1;5-10;20;Yerden Isıtma;Kiracı Oturuyor;Evet;2;19.250.000;İstanbul;Sarıyer;Ayazağa Mahallesi
Konut;90 m²;95 m²;2+1;5-10;5;Merkezi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.700.000;İstanbul;Sultangazi;50. Yıl Mahallesi
Konut;72 m²;86 m²;2+1;0 (Yeni);9;Kombi Doğalgaz;Boş;Hayır;1;5.250.000;İstanbul;Bahçelievler;Soğanlı Mahallesi
Konut;100 m²;110 m²;2+1;2;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.200.000;İstanbul;Arnavutköy;Yunus Emre Mahallesi
Konut;150 m²;180 m²;4+2;11-15;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;6.450.000;İstanbul;Bayrampaşa;Muratpaşa Mahallesi
Konut;175 m²;190 m²;4+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;3;14.950.000;İstanbul;Bahçelievler;Bahçelievler Mahallesi
Konut;120 m²;135 m²;3+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;2;7.250.000;İstanbul;Bahçelievler;Şirinevler Mahallesi
Konut;100 m²;128 m²;3+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;3.750.000;İstanbul;Bahçelievler;Şirinevler Mahallesi
Konut;55 m²;65 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;2.999.000;İstanbul;Bayrampaşa;Muratpaşa Mahallesi
Konut;110 m²;120 m²;3+1;5-10;3;Kombi Doğalgaz;Boş;Hayır;1;5.250.000;İstanbul;Bayrampaşa;Kartaltepe Mahallesi
Konut;145 m²;160 m²;4+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;2;4.450.000;İstanbul;Sancaktepe;Fatih Mahallesi
Konut;140 m²;150 m²;1+1;21 Ve Üzeri;5;Sobalı;Kiracı Oturuyor;Hayır;1;3.000.000;İstanbul;Sultangazi;Cebeci Mahallesi
Konut;85 m²;88 m²;2+1;21 Ve Üzeri;6;Kombi Doğalgaz;Boş;Hayır;1;1.980.000;İstanbul;Bahçelievler;Cumhuriyet Mahallesi
Konut;180 m²;200 m²;4+1;21 Ve Üzeri;3;Merkezi Doğalgaz;Boş;Hayır;1;19.900.000;İstanbul;Şişli;Teşvikiye Mahallesi
Konut;200 m²;220 m²;4+2;0 (Yeni);3;Kombi Doğalgaz;Boş;Hayır;2;7.400.000;İstanbul;Bayrampaşa;Kartaltepe Mahallesi
Konut;80 m²;85 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Boş;Hayır;1;1.780.000;İstanbul;Bahçelievler;Zafer Mahallesi
Konut;105 m²;125 m²;3+1;16-20;8;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Evet;1;5.650.000;İstanbul;Çekmeköy;Mimar Sinan Mahallesi
Konut;75 m²;90 m²;2+1;0 (Yeni);14;Merkezi (Pay Ölçer);Boş;Hayır;2;10.250.000;İstanbul;Kadıköy;Bostancı Mahallesi
Konut;50 m²;58 m²;1+1;21 Ve Üzeri;5;Klimalı;Boş;Hayır;Yok;30.000;İstanbul;Güngören;Sanayi Mahallesi
Konut;110 m²;115 m²;2+1;3;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;3.000.000;İstanbul;Esenyurt;Süleymaniye Mahallesi
Konut;100 m²;110 m²;2+1;2;5;Kombi Doğalgaz;Boş;Hayır;1;1.549.000;İstanbul;Esenyurt;Ardıçlı Mahallesi
Konut;100 m²;105 m²;2+1;3;4;Kombi Doğalgaz;Boş;Hayır;1;1.245.000;İstanbul;Esenyurt;Zafer Mahallesi
Konut;140 m²;150 m²;3+2;3;5;Kombi Doğalgaz;Boş;Hayır;2;2.999.000;İstanbul;Esenyurt;Mehterçeşme Mahallesi
Konut;100 m²;110 m²;2+1;2;5;Kombi Doğalgaz;Boş;Hayır;1;2.595.000;İstanbul;Esenyurt;Mehterçeşme Mahallesi
Konut;190 m²;200 m²;4+2;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;2;10.250.000;İstanbul;Güngören;Güven Mahallesi
Konut;180 m²;240 m²;5+2;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;3;8.750.000;İstanbul;Beylikdüzü;Kavaklı Mahallesi
Konut;175 m²;210 m²;5+2;5-10;10;Kombi Doğalgaz;Boş;Hayır;3;21.000.000;İstanbul;Kadıköy;Erenköy Mahallesi
Konut;85 m²;95 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;5.750.000;İstanbul;Esenler;Kazım Karabekir Mahallesi
Konut;80 m²;85 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Boş;Hayır;1;1.650.000;İstanbul;Fatih;Koca Mustafapaşa Mahallesi
Konut;75 m²;90 m²;2+1;5-10;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;2.950.000;İstanbul;Beylikdüzü;Yakuplu Mahallesi
Konut;100 m²;110 m²;2+1;3;5;Kombi Doğalgaz;Boş;Hayır;1;1.865.000;İstanbul;Esenyurt;Örnek Mahallesi
Konut;80 m²;95 m²;2+1;4;7;Kombi Doğalgaz;Boş;Hayır;1;3.900.000;İstanbul;Pendik;Esenler Mahallesi
Konut;75 m²;85 m²;2+1;11-15;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.450.000;İstanbul;Esenler;Birlik Mahallesi
Konut;105 m²;130 m²;3+1;4;7;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.699.998;İstanbul;Sultanbeyli;Yavuz Selim Mahallesi
Konut;85 m²;100 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Boş;Hayır;1;2.500.000;İstanbul;Güngören;Merkez Mahallesi
Konut;340 m²;400 m²;5+1;11-15;5;Kombi Doğalgaz;Boş;Hayır;4;26.750.000;İstanbul;Sarıyer;Maden Mahallesi
Konut;100 m²;110 m²;3+1;21 Ve Üzeri;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.400.000;İstanbul;Bayrampaşa;Vatan Mahallesi
Konut;60 m²;70 m²;2+1;21 Ve Üzeri;3;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;1.320.000;İstanbul;Esenler;Turgut Reis Mahallesi
Konut;90 m²;100 m²;1+1;4;6;Kombi Doğalgaz;Boş;Hayır;1;1.780.000;İstanbul;Beylikdüzü;Cumhuriyet Mahallesi
Konut;100 m²;110 m²;2+1;11-15;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.200.000;İstanbul;Esenyurt;Mehmet Akif Ersoy Mahallesi
Konut;120 m²;130 m²;3+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;2;6.650.000;İstanbul;Avcılar;Merkez Mahallesi
Konut;90 m²;100 m²;2+1;4;4;Kombi Doğalgaz;Boş;Hayır;1;1.800.000;İstanbul;Beylikdüzü;Cumhuriyet Mahallesi
Konut;78 m²;90 m²;2+1;5-10;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;2;3.625.000;İstanbul;Bahçelievler;Soğanlı Mahallesi
Konut;100 m²;115 m²;3+1;21 Ve Üzeri;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.825.000;İstanbul;Bahçelievler;Siyavuşpaşa Mahallesi
Konut;80 m²;100 m²;2+1;0 (Yeni);4;Merkezi Doğalgaz;Boş;Hayır;1;5.750.000;İstanbul;Maltepe;Altıntepe Mahallesi
Konut;60 m²;70 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;4.450.000;İstanbul;Bayrampaşa;Vatan Mahallesi
Konut;190 m²;200 m²;3+1;11-15;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Evet;2;8.650.000;İstanbul;Büyükçekmece;Cumhuriyet Mahallesi
Konut;70 m²;75 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;5.900.000;İstanbul;Üsküdar;Aziz Mahmut Hüdayi Mahallesi
Konut;85 m²;120 m²;2+1;4;24;Merkezi Doğalgaz;Kiracı Oturuyor;Evet;1;5.500.000;İstanbul;Avcılar;Tahtakale Mahallesi
Konut;1 m²;80 m²;2+1;11-15;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.900.000;İstanbul;Bahçelievler;Yenibosna Merkez Mahallesi
Konut;100 m²;110 m²;2+1;4;4;Kombi Doğalgaz;Boş;Hayır;1;2.265.000;İstanbul;Beylikdüzü;Cumhuriyet Mahallesi
Konut;353 m²;354 m²;7+3;21 Ve Üzeri;2;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;3;11.250.000;İstanbul;Tuzla;Akfırat Mahallesi
Konut;80 m²;90 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.280.000;İstanbul;Bahçelievler;Zafer Mahallesi
Konut;75 m²;85 m²;2+1;11-15;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;3.300.000;İstanbul;Bahçelievler;Fevzi Çakmak Mahallesi
Konut;150 m²;160 m²;5+1;5-10;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;4.900.000;İstanbul;Bahçelievler;Zafer Mahallesi
Konut;60 m²;75 m²;2+1;11-15;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.000.000;İstanbul;Silivri;Alibey Mahallesi
Konut;56 m²;65 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;5.950.000;İstanbul;Ümraniye;Yukarı Dudullu Mahallesi
Konut;90 m²;95 m²;2+1;11-15;5;Kombi Doğalgaz;Boş;Hayır;1;2.750.000;İstanbul;Sultangazi;Sultançiftliği Mahallesi
Konut;1 m²;90 m²;2+1;11-15;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;4;4.300.000;İstanbul;Bahçelievler;Yenibosna Merkez Mahallesi
